Provider	Model	Tier/Variant	Input $/1M	Cached input $/1M	Output $/1M	Notes	Source	Status
OpenAI	gpt-5.2-pro	Flex	$10.50	N/A	$84.00	Flex tier. Cached input not listed for pro models.	https://developers.openai.com/api/docs/pricing/	verified
OpenAI	gpt-5	Flex	$0.625	$0.0625	$5.00	Flex tier.	https://developers.openai.com/api/docs/pricing/	verified
OpenAI	gpt-5-mini	Flex	$0.125	$0.0125	$1.00	Flex tier.	https://developers.openai.com/api/docs/pricing/	verified
OpenAI	gpt-5-nano	Flex	$0.025	$0.0025	$0.20	Flex tier.	https://developers.openai.com/api/docs/pricing/	verified
OpenAI	o1-pro	Flex	$75.00	N/A	$300.00	Flex tier. Cached input not listed.	https://developers.openai.com/api/docs/pricing/	verified
OpenAI	o1	Flex	$7.50	N/A	$30.00	Flex tier. Cached input not listed.	https://developers.openai.com/api/docs/pricing/	verified
OpenAI	o3-pro	Flex	$10.00	N/A	$40.00	Flex tier. Cached input not listed.	https://developers.openai.com/api/docs/pricing/	verified
OpenAI	o3	Flex	$1.00	$0.25	$4.00	Flex tier.	https://developers.openai.com/api/docs/pricing/	verified
OpenAI	o4-mini	Flex	$0.55	$0.138	$2.20	Flex tier.	https://developers.openai.com/api/docs/pricing/	verified
OpenAI	o3-deep-research	Flex	$5.00	N/A	$20.00	Flex tier. Cached input not listed.	https://developers.openai.com/api/docs/pricing/	verified
OpenAI	gpt-4.1 (Fine-tuning)	Fine-tuning	$3.00	$0.75	$12.00	Fine-tuning usage pricing, not training.	https://openai.com/api/pricing/	verified
OpenAI	gpt-4.1 mini (Fine-tuning)	Fine-tuning	$0.80	$0.20	$3.20	Fine-tuning usage pricing, not training.	https://openai.com/api/pricing/	verified
Anthropic	Claude Opus 4.6	API	$5.00	5m write $6.25; 1h write $10.00	$25.00	Cache read pricing not captured in this sheet, verify on Anthropic docs.	https://docs.anthropic.com/en/docs/about-claude/pricing	manual verify
Anthropic	Claude Opus 4.5	API	$5.00	5m write $6.25; 1h write $10.00	$25.00	Cache read pricing not captured in this sheet, verify on Anthropic docs.	https://docs.anthropic.com/en/docs/about-claude/pricing	manual verify
Anthropic	Claude Opus 4.1	API	$15.00	5m write $18.75; 1h write $30.00	$75.00	Cache read pricing not captured in this sheet, verify on Anthropic docs.	https://docs.anthropic.com/en/docs/about-claude/pricing	manual verify
Anthropic	Claude Sonnet 4.6	API	$3.00	5m write $3.75; 1h write $6.00	$15.00	Cache read pricing not captured in this sheet, verify on Anthropic docs.	https://docs.anthropic.com/en/docs/about-claude/pricing	manual verify
Anthropic	Claude Sonnet 4.5	API	$3.00	5m write N/A; 1h write N/A	$15.00	Cache read pricing not captured in this sheet, verify on Anthropic docs.	https://docs.anthropic.com/en/docs/about-claude/pricing	manual verify
Anthropic	Claude Sonnet 4.1	API	$3.00	5m write $3.75; 1h write $6.00	$15.00	Cache read pricing not captured in this sheet, verify on Anthropic docs.	https://docs.anthropic.com/en/docs/about-claude/pricing	manual verify
Anthropic	Claude Haiku 3.5	API	$0.80	5m write $1.00; 1h write $1.60	$4.00	Cache read pricing not captured in this sheet, verify on Anthropic docs.	https://docs.anthropic.com/en/docs/about-claude/pricing	manual verify
Anthropic	Claude Haiku 3.0	API	$0.25	5m write $0.30; 1h write $0.50	$1.25	Cache read pricing not captured in this sheet, verify on Anthropic docs.	https://docs.anthropic.com/en/docs/about-claude/pricing	manual verify
Google	gemini-3.1-pro-preview	Standard (<=200k)	$2.00	$0.20	$12.00	Gemini Developer API pricing, prompts <=200k tokens.	https://ai.google.dev/gemini-api/docs/pricing	verified
Google	gemini-3.1-pro-preview	Standard (>200k)	$4.00	$0.40	$18.00	Gemini Developer API pricing, prompts >200k tokens.	https://ai.google.dev/gemini-api/docs/pricing	verified
Google	gemini-3-pro-preview	Standard (<=200k)	$2.00	$0.20	$12.00	Gemini Developer API pricing, prompts <=200k tokens.	https://ai.google.dev/gemini-api/docs/pricing	verified
Google	gemini-3-pro-preview	Standard (>200k)	$4.00	$0.40	$18.00	Gemini Developer API pricing, prompts >200k tokens.	https://ai.google.dev/gemini-api/docs/pricing	verified
Google	gemini-2.5-pro	Standard (<=200k)	$1.25	$0.125	$10.00	Gemini Developer API pricing, prompts <=200k tokens.	https://ai.google.dev/gemini-api/docs/pricing	verified
Google	gemini-2.5-pro	Standard (>200k)	$2.50	$0.25	$15.00	Gemini Developer API pricing, prompts >200k tokens.	https://ai.google.dev/gemini-api/docs/pricing	verified
Google	gemini-2.5-flash	Standard (text/image/video input)	$0.30	$0.03	$2.50	Gemini Developer API pricing.	https://ai.google.dev/gemini-api/docs/pricing	verified
Google	gemini-2.5-flash	Standard (audio input)	$1.00	$0.10	$2.50	Audio input has different input and cache pricing.	https://ai.google.dev/gemini-api/docs/pricing	verified
Google	gemini-2.5-flash-lite	Standard (text/image/video input)	$0.10	$0.01	$0.40	Gemini Developer API pricing.	https://ai.google.dev/gemini-api/docs/pricing	verified
Google	gemini-2.5-flash-lite	Standard (audio input)	$0.30	$0.03	$0.40	Audio input has different input and cache pricing.	https://ai.google.dev/gemini-api/docs/pricing	verified
